No,label,trend classification,ts_slope (cm/year),piecewise_R2,sudden change windows span,sudden change window start year,sudden change window end year
1211,New Gardens,Slow decreasing,14.3777027,0.528315514,3,10/1/1977,10/1/1979
1212,Eastrop Park,Slow increasing,-2.524722222,0.032460605,30,10/1/1994,10/1/2023
1213,Bell Slack,No trend,1.343253968,0.115619199,13,10/1/1976,10/1/1988
1214,Eastry,No trend,-0.896103896,0.005389492,38,10/1/1981,10/1/2018
1215,West Newton Grange,Slow increasing,-2.74981737,0.135550244,41,10/1/1983,10/1/2023
1216,Catfield,Slow increasing,-3.115075445,0.400369083,2,10/1/2019,10/1/2020
1217,Brown Bank,Slow increasing,-2.083881461,0.2507176,50,10/1/1973,10/1/2022
1218,Charlton Road,No trend,0.556679678,0.10824823,2,10/1/2022,10/1/2023
1219,Elmswell Hall,No trend,-0.599831768,0.085775911,29,10/1/1991,10/1/2019
1220,Fortis Green,Slow increasing,-18.1989378,0.98924911,25,10/1/1996,10/1/2020
1221,Broomscot,No trend,0.561290323,0.183984932,8,10/1/1983,10/1/1990
1222,Chestnut Street,Slow increasing,-7.438164313,0.229100324,17,10/1/2006,10/1/2022
1223,Weelsby,Slow increasing,-3.25030303,0.354539641,32,10/1/1991,10/1/2022
1224,Ticehurst Grange,No trend,0.036185516,0.007373479,30,10/1/1982,10/1/2011
1225,West Stourmouth,No trend,0.477490421,0.081885089,42,10/1/1981,10/1/2022
1226,Point Farm,Slow decreasing,2.65034965,0.03976999,16,10/1/2000,10/1/2015
1227,Little Ness,Slow decreasing,3.487654321,0.654294022,49,10/1/1974,10/1/2022
1228,Norwich Lane,Slow decreasing,4.666666667,0.397958881,20,10/1/2000,10/1/2019
1229,Beehive Cottage,No trend,-0.015053763,0.023259092,4,10/1/1973,10/1/1976
1230,Dryham North Cave,No trend,0.920717593,0.029682948,3,10/1/2020,10/1/2022
1231,Tewin Water,No trend,-0.995941558,0.224773787,33,10/1/1991,10/1/2023
1232,Weobley,No trend,1.008780992,0.154734236,51,10/1/1972,10/1/2022
1233,Fenn Green Farm,Slow increasing,-10.47508568,0.393002798,24,10/1/1990,10/1/2013
1234,Tiddington,Sudden upward change,-72.06759259,0.773842212,12,10/1/1989,10/1/2000
1235,Lavenham,No trend,-0.903125,0.204505786,27,10/1/1997,10/1/2023
1236,Southfleet 37,Sudden upward change,-6.976489028,0.926413884,6,10/1/2007,10/1/2012
1237,Little Langmere Plantation,Slow decreasing,5.718402778,0.017969656,20,10/1/2003,10/1/2022
1238,Edge Lane,Slow decreasing,2.6228191,0.645471708,2,10/1/2001,10/1/2002
1239,London Road Little Missenden,No trend,-0.906018519,0.09817081,33,10/1/1991,10/1/2023
1240,Dalton Middle,No trend,-0.795572917,0.057353138,32,10/1/1991,10/1/2022
1241,Goxhill Haven,No trend,-0.67979798,0.153357593,46,10/1/1978,10/1/2023
1243,Leonards Grave,Slow increasing,-5.653950216,0.101120861,29,10/1/1995,10/1/2023
1244,Kirklington,Slow decreasing,2.985871648,0.631672418,19,10/1/1976,10/1/1994
1245,Clockhouse lane,Slow increasing,-5.19047619,0.506417403,31,10/1/1992,10/1/2022
1246,Leeds Trident,No trend,-0.857142857,0.697925493,9,10/1/1975,10/1/1983
1247,Appleshaw,No trend,0.569444444,0.004731924,50,10/1/1967,10/1/2016
1248,Willingdon Upper Kings Drive,No trend,-0.065104167,0.056494601,16,10/1/2008,10/1/2023
1249,Island Pool,Slow increasing,-42.90388382,0.911069882,10,10/1/2006,10/1/2015
1250,Ashton Farm,No trend,-1.353748058,0.036295682,33,10/1/1991,10/1/2023
1251,Milston Drove,Slow increasing,-3.037222222,0.051008597,20,10/1/2004,10/1/2023
1252,New Buildings,No trend,-1.023492424,0.139650851,14,10/1/2010,10/1/2023
1253,Tresillian,No trend,-0.567534318,0.015723393,18,10/1/2000,10/1/2017
1257,Horton Inn,Slow increasing,-2.801881695,0.015105707,6,10/1/2009,10/1/2014
1258,New Mill Northbourne,No trend,-0.105357143,0.444957403,2,10/1/1970,10/1/1971
1259,Sunshine Services,Slow decreasing,17.61578947,0.532175028,2,10/1/1999,10/1/2000
1260,Bedale,No trend,0.197548019,0.057170335,2,10/1/2022,10/1/2023
1261,Frettenham,No trend,1.549347643,0.529378186,58,10/1/1961,10/1/2018
1263,Wothorpe,No trend,1.117013889,0.05161906,43,10/1/1979,10/1/2021
1264,Washingdales Lane Aylesbury,Slow decreasing,2.381907969,0.06159985,2,10/1/1995,10/1/1996
1265,Mapperley,Slow increasing,-11.89265873,0.972377993,19,10/1/1993,10/1/2011
1266,Rectory Farm,No trend,0.346818182,0.38457082,2,10/1/2022,10/1/2023
1267,Stroud 3,Slow decreasing,3.670745921,0.738676184,18,10/1/2002,10/1/2019
1268,Brasted 3,No trend,0.482151441,0.761102852,3,10/1/2001,10/1/2003
1269,Brasted 1,Slow increasing,-4.890801172,0.695327229,11,10/1/1992,10/1/2002
1270,Plaistowes Farm,No trend,0.46969697,0.004459733,31,10/1/1986,10/1/2016
1271,Highways Road,Slow increasing,-2.286506565,0.113546717,36,10/1/1988,10/1/2023
1272,Stabhill,Slow increasing,-8.729016517,0.359642261,45,10/1/1978,10/1/2022
1273,Crouch Farm,Slow increasing,-2.160988328,0.025086548,31,10/1/1990,10/1/2020
1274,Dans Road,Slow increasing,-88.12478879,0.993898732,37,10/1/1981,10/1/2017
1275,Knights Place,No trend,-0.779069767,0.477332973,5,10/1/2008,10/1/2012
1276,Banterwick Barn,Slow decreasing,5.6925,0.000810791,22,10/1/2000,10/1/2021
1277,Broom Belt,No trend,0.070512821,0.007047896,26,10/1/1998,10/1/2023
1278,Lower Beeding,No trend,-0.3296278,0.029809293,61,10/1/1963,10/1/2023
1279,Stainton Littlewood,Slow increasing,-2.310592658,0.13676609,14,10/1/2006,10/1/2019
1280,Bridges Road,No trend,-1.305555556,0.200289713,4,10/1/2009,10/1/2012
1281,Careby,No trend,-0.825063131,0.078520787,49,10/1/1975,10/1/2023
1282,Middledale,No trend,0.115592636,0.099076613,4,10/1/1996,10/1/1999
1283,Highwood Lane,No trend,-1.306317451,0.069709459,35,10/1/1989,10/1/2023
1284,Queens Park High School,No trend,-1.725989492,0.458457303,14,10/1/2010,10/1/2023
1285,Great Bradley Farm,Sudden downward change,5.186507937,0.863968617,11,10/1/1987,10/1/1997
1286,Cothill Quarry,No trend,1.186309524,0.252991043,2,10/1/2002,10/1/2003
1287,Little Cawthorpe,No trend,0.144978632,0.000256765,6,10/1/1980,10/1/1985
1288,Upper Hill Farm,No trend,-0.619047619,0.164997928,60,10/1/1964,10/1/2023
1289,Aslackby,No trend,1.170213294,0.218950594,2,10/1/2018,10/1/2019
1290,Old Foundry Cottages,No trend,-0.687195845,0.082930366,33,10/1/1991,10/1/2023
1291,Bewsey,Slow increasing,-14.77777778,0.780654329,32,10/1/1980,10/1/2011
1292,Low Conniscliffe,Slow increasing,-14.85857077,0.151971255,41,10/1/1969,10/1/2009
1293,Brown Copse Crossroads,Slow increasing,-2.863636364,0.18403488,4,10/1/2020,10/1/2023
1295,Sprucely,Sudden upward change,-7.843063768,0.914550162,10,10/1/1992,10/1/2001
1296,East Allerdean,No trend,-0.556666667,0.052919831,26,10/1/1996,10/1/2021
1297,Breach House,No trend,0.506663063,0.113170781,14,10/1/1959,10/1/1972
1298,Lower Standean,No trend,0.608054813,0.083602357,2,10/1/2022,10/1/2023
1300,Four Crosses,Slow decreasing,2.186455653,0.352735391,29,10/1/1968,10/1/1996
1301,Keld Knowle,Slow increasing,-2.909435262,0.166370245,29,10/1/1991,10/1/2019
1302,Dirtness,No trend,-1.35625,0.321134225,31,10/1/1993,10/1/2023
1303,Heather View,Slow increasing,-9.712472058,0.405477981,7,10/1/2014,10/1/2020
1304,Wilderness Nackington,No trend,-0.052567829,0.001666516,31,10/1/1989,10/1/2019
1305,Frith Farm,No trend,-1.22008547,0.71729,35,10/1/1981,10/1/2015
1306,Royal Free Hospital,Slow increasing,-25.79545455,0.968126921,14,10/1/2009,10/1/2022
1307,Stapleford,Slow decreasing,2.494624768,0.158552041,17,10/1/2000,10/1/2016
1308,Cockley Cley,No trend,0.866666667,0.000737106,19,10/1/2005,10/1/2023
1309,Ashington Jinkes Farm,No trend,-1.2,0.278544916,20,10/1/2004,10/1/2023
1310,Graylingwell Farm,Slow increasing,-2.495558321,0.00581117,29,10/1/1995,10/1/2023
1311,Street Farm,No trend,0.438492063,0.001435528,39,10/1/1984,10/1/2022
1312,Barnfields,Slow increasing,-5.661144294,0.319444192,3,10/1/2019,10/1/2021
1313,Blenheim Cresent,No trend,-0.475308642,0.19943063,12,10/1/1995,10/1/2006
1314,Cranberry Rough,Slow decreasing,2.96969697,0.55335548,4,10/1/2000,10/1/2003
1315,Stancombe Farm,No trend,-1.4747151,0.025222426,51,10/1/1973,10/1/2023
1316,Wivelrod,No trend,-0.16255144,0.001833049,56,10/1/1966,10/1/2021
1317,Warren Farm South Rauceby,No trend,1.568253968,0.00031046,3,10/1/1988,10/1/1990
1319,Wilsford 1,No trend,-0.18655303,0.009013932,40,10/1/1984,10/1/2023
1320,Arkesden,No trend,0.73852904,0.083767832,1,10/1/2003,10/1/2003
1321,Shalford,Slow decreasing,9.136742424,0.664679996,16,10/1/1990,10/1/2005
1322,East Lane Ovington,No trend,-1.324074074,0.264374585,23,10/1/2001,10/1/2023
1323,West Meon Hut,Slow increasing,-7.353582404,0.136907317,34,10/1/1990,10/1/2023
1324,Long Plantation,Slow decreasing,2.895061728,0.220468972,18,10/1/2000,10/1/2017
1325,Leasingham,No trend,0.773284314,0.010093008,48,10/1/1972,10/1/2019
1326,Pump Close,No trend,-0.01952862,0.006572871,53,10/1/1971,10/1/2023
1327,Kiln Farm,No trend,-0.22345679,0.025224073,53,10/1/1971,10/1/2023
1328,Nelson Arms Winterslow,No trend,-1.769642857,0.188805875,2,10/1/2022,10/1/2023
1330,Lime Kiln Way,No trend,-0.136544796,0.01579828,11,10/1/2011,10/1/2021
1331,West End Lane,Slow increasing,-5.689123377,0.194442366,9,10/1/1992,10/1/2000
1332,Blackmoor Estate,No trend,-0.101739927,0.071786724,8,10/1/2002,10/1/2009
1333,Norway Drove,Slow increasing,-2.018888889,0.496580916,6,10/1/2008,10/1/2013
1334,Birkmyre,No trend,0.895386795,0.091805603,38,10/1/1985,10/1/2022
1335,Clanville Gate,No trend,0.082986111,0.003668692,32,10/1/1989,10/1/2020
1336,Ackholts Cottages,No trend,-0.770833333,0.062376363,27,10/1/1996,10/1/2022
1337,Edes Barn Cottage,Slow decreasing,2.657575758,0.270949776,18,10/1/2001,10/1/2018
1338,Thurning Road,No trend,-0.196666667,0.025237532,31,10/1/1990,10/1/2020
1339,Nightingale Lodge,Slow decreasing,2.596538462,0.210879046,10,10/1/2000,10/1/2009
1340,Buxton Heath 1,No trend,1.211706349,0.207224543,11,10/1/2008,10/1/2018
1341,Fosse Farm,No trend,1.902631579,0.535455201,23,10/1/1984,10/1/2006
1343,North Lane Reepham,No trend,1.512923904,0.071770225,35,10/1/1980,10/1/2014
1344,Lower Farm Throcking,No trend,0.449275362,0.000315888,38,10/1/1981,10/1/2018
1345,Manor Farm Broughton,No trend,-0.086805556,0.086020621,11,10/1/1996,10/1/2006
1346,Cheriton,No trend,-0.871145833,0.182591137,20,10/1/2004,10/1/2023
1347,Barrowhill,No trend,-0.45986896,0.005327339,37,10/1/1977,10/1/2013
1348,Wayside,No trend,1.191666667,0.023851488,40,10/1/1978,10/1/2017
1349,Flegis Court,Slow increasing,-10.78162393,0.138127766,17,10/1/2004,10/1/2020
1350,Dradfield Lane,Slow increasing,-5.959183673,0.18615844,8,10/1/2005,10/1/2012
1352,Great Tey,Slow increasing,-4.811535755,0.6815961,15,10/1/1984,10/1/1998
1353,New Mill,No trend,-0.611111111,0.350797212,2,10/1/1997,10/1/1998
1354,the Hydes Thaxted,Slow decreasing,18.34457364,0.880266362,17,10/1/1976,10/1/1992
1355,Bagnor Manor,No trend,0.080909091,0.366002329,3,10/1/2017,10/1/2019
1356,Waters Down Farm,No trend,0.039473684,0.185229843,6,10/1/2018,10/1/2023
1357,Hoe Gate,Slow decreasing,5.113445378,0.001940313,14,10/1/2004,10/1/2017
1358,Rottington,Slow increasing,-3.447256373,0.14023813,38,10/1/1983,10/1/2020
1359,The Arms,No trend,1.496212121,0.158763141,6,10/1/2018,10/1/2023
1360,Village Farm Dalton,No trend,0.198611111,0.044672782,14,10/1/1996,10/1/2009
1361,Forton Longparish,No trend,1.094298246,0.250602851,38,10/1/1968,10/1/2005
1362,Stanmoor Hall,No trend,-0.771275253,0.04487169,26,10/1/1998,10/1/2023
1363,Salutation Inn,No trend,0.15625,0.051056593,21,10/1/1988,10/1/2008
1364,Blackmoor,No trend,-0.545122461,0.034802986,4,10/1/2013,10/1/2016
1366,Essendine,Slow increasing,-2.39996345,0.15625026,7,10/1/2017,10/1/2023
1367,Sefton Park,Slow decreasing,2.575389155,0.637349818,6,10/1/2004,10/1/2009
1368,Park Farm,No trend,-0.167816092,0.089305724,3,10/1/1999,10/1/2001
1371,Rede,Sudden upward change,-3.290223665,0.818284361,7,10/1/1998,10/1/2004
1372,Espland Hill,No trend,-1.447747748,0.143232803,45,10/1/1976,10/1/2020
1373,Oliver Road Leyton,Slow increasing,-3.831018519,0.649519739,4,10/1/2003,10/1/2006
1374,Bosham Newells Lane,No trend,-0.725153319,0.350973164,18,10/1/2006,10/1/2023
1375,Red House,No trend,-0.443089431,0.010608652,51,10/1/1972,10/1/2022
1376,Simmonds Hill,Slow increasing,-49.65222222,0.858997428,19,10/1/1998,10/1/2016
1377,Five Mile House,No trend,0.19951687,0.227965444,2,10/1/2019,10/1/2020
1378,Bryants Heath 1,No trend,0.927053872,0.030451142,1,10/1/2013,10/1/2013
1379,Bowd,Slow increasing,-4.481443261,0.338638966,2,10/1/2012,10/1/2013
1380,Alland Grange,Slow increasing,-3.602097222,0.363446433,19,10/1/1995,10/1/2013
1381,Wybunbury Moss,No trend,-0.400395358,0.152457383,15,10/1/2009,10/1/2023
1382,Woodbastwick Hall,No trend,0.186868687,0.3600407,4,10/1/2010,10/1/2013
1383,Norbury Junction,Slow increasing,-14.33842593,0.834634448,11,10/1/2011,10/1/2021
1384,Windsor Road,No trend,-0.294372294,0.030621047,19,10/1/2004,10/1/2022
1385,Round House,Slow decreasing,4.208791209,0.616703761,19,10/1/2003,10/1/2021
1386,Hurstmere School,No trend,1.528617571,0.760023812,19,10/1/1987,10/1/2005
1387,Netherton Valley,Slow increasing,-6.789351852,0.025399422,29,10/1/1995,10/1/2023
1388,Cuckoo Lodge,No trend,-1.416937229,0.134785271,63,10/1/1961,10/1/2023
1389,Summerville Cottage,Slow increasing,-2.728670635,0.543213143,18,10/1/1997,10/1/2014
1390,Barnsheath Farm,No trend,-1.858045977,0.365954434,33,10/1/1990,10/1/2022
1391,Lower Farm,Slow decreasing,10.46969697,0.089835307,19,10/1/2000,10/1/2018
1392,South Wold Farm,No trend,-1.982467532,0.123562269,33,10/1/1991,10/1/2023
1393,Strubby,No trend,1.166666667,0.355561912,20,10/1/1982,10/1/2001
1394,North Bottom,No trend,-1.257429453,0.145117583,2,10/1/2022,10/1/2023
1395,North Street,Slow decreasing,5.170833333,0.067307229,21,10/1/2001,10/1/2021
1396,Hill Top Farm,No trend,-0.594871795,0.337163944,26,10/1/1995,10/1/2020
1398,Furness Abbey,Slow increasing,-6.842834621,0.596892832,52,10/1/1972,10/1/2023
1399,Purleybury,Slow decreasing,3.025329793,0.03578134,22,10/1/2001,10/1/2022
1400,Broadoak Road,Slow increasing,-25.53099174,0.421247084,20,10/1/1996,10/1/2015
1401,Howe Chase,No trend,1.181935295,0.238628236,26,10/1/1985,10/1/2010
1402,Lyngrove Farm,Slow increasing,-2.12362259,0.086085029,41,10/1/1983,10/1/2023
1404,Allington 2,Slow decreasing,12.36756575,0.058931468,15,10/1/2007,10/1/2021
1405,Draycot Foliat,Slow increasing,-3.21882716,0.053494483,43,10/1/1981,10/1/2023
1406,Holly Farm Lakes,No trend,-0.03125,0.468547683,2,10/1/1997,10/1/1998
1407,Old rectory,Slow increasing,-23.94864865,0.363972849,55,10/1/1969,10/1/2023
1408,Whittington Heath,Slow decreasing,3.881989247,0.264475558,42,10/1/1981,10/1/2022
1409,Allington Down,No trend,0.613182516,0.037044379,2,10/1/1997,10/1/1998
1410,Sparham Hill,No trend,0.35,0.049834598,25,10/1/1987,10/1/2011
1411,Thriplow Road,No trend,0.019211344,0.014095505,26,10/1/1998,10/1/2023
1412,Noke Cottage,No trend,-0.388833333,0.024737084,26,10/1/1989,10/1/2014
1413,Broadway Lane,No trend,1.520454545,0.670317945,4,10/1/2002,10/1/2005
1414,Button Fen,No trend,0.961647727,0.199990472,11,10/1/2001,10/1/2011
1415,SunnyBank Farm,Slow increasing,-17.83106514,0.60208572,2,10/1/2018,10/1/2019
1416,Mill Farm Ewen,No trend,-0.45682933,0.0462001,47,10/1/1977,10/1/2023
1418,Lyeway Lane,No trend,-1.760438233,0.020241104,10,10/1/2005,10/1/2014
1420,Serrington,No trend,-0.968095015,0.176213948,15,10/1/2005,10/1/2019
1421,Ashby de la Zouche,No trend,-1.022727273,0.352663786,43,10/1/1980,10/1/2022
1422,Trimworth Manor,No trend,-0.061961451,0.020910954,9,10/1/2010,10/1/2018
1423,Codsall,Slow increasing,-2.154729109,0.725503213,45,10/1/1977,10/1/2021
1424,Hinton Daubnay Farm,Slow decreasing,2.440625,0.021644511,40,10/1/1966,10/1/2005
1425,Spellowgate,Slow decreasing,2.059438776,0.199379955,4,10/1/1984,10/1/1987
1428,Burghfield Water Tower,Sudden upward change,-20.39705882,0.934330113,9,10/1/2002,10/1/2010
1429,Butchers farm,Slow decreasing,17.32604167,0.283487863,11,10/1/2002,10/1/2012
1430,Matlaske Road,No trend,-1.115584416,0.409693541,3,10/1/1998,10/1/2000
1431,St Michaels Farm,No trend,-1.650820396,0.3749835,33,10/1/1975,10/1/2007
1432,Kingston Middle Road,No trend,0.444481524,0.218864839,1,10/1/1988,10/1/1988
1434,Cherry Burton,Slow increasing,-2.06749726,0.103599481,8,10/1/2016,10/1/2023
1435,Langley Street 1,No trend,-0.203205128,0.172297063,26,10/1/1997,10/1/2022
1436,Finchdean,Slow increasing,-4.887575477,0.100534327,33,10/1/1991,10/1/2023
1437,Churton,No trend,0.853535354,0.068381342,27,10/1/1979,10/1/2005
1438,Grove Farm,No trend,0.786458333,0.282917141,2,10/1/2016,10/1/2017
1439,Stone Cottage,Slow decreasing,8.710854876,0.07731082,23,10/1/2000,10/1/2022
1440,Badbury Rings,No trend,-0.954249085,0.011783178,14,10/1/2007,10/1/2020
1441,Longdown Farm,Slow decreasing,7.313271605,0.521550204,22,10/1/1981,10/1/2002
1442,Blatchbridge,Slow increasing,-2.058919753,0.37478268,17,10/1/2007,10/1/2023
1443,Alfriston,No trend,-0.949494949,0.1541344,52,10/1/1972,10/1/2023
1445,Liphook Golf Club,No trend,-0.808333333,0.206417349,2,10/1/1999,10/1/2000
1446,Hatchley Lane,Slow increasing,-2.806354315,0.094918765,16,10/1/2005,10/1/2020
1447,The Knolls,Slow decreasing,2.468742914,0.493461109,30,10/1/1981,10/1/2010
1448,Cottington Court,No trend,-0.806423611,0.543612968,7,10/1/1981,10/1/1987
1449,Coldham,No trend,-1.026315789,0.2821613,8,10/1/2005,10/1/2012
1450,Jaques Keelby,Slow increasing,-2.085033745,0.077496899,34,10/1/1990,10/1/2023
1451,Tickencote,No trend,0.327777778,0.992482313,4,10/1/1979,10/1/1982
1452,Gomeldon Lewes,No trend,-0.300757576,0.518303795,2,10/1/2022,10/1/2023
1453,Park Farm Lingley Green,Slow increasing,-106.7503289,0.994151618,28,10/1/1990,10/1/2017
1454,Old Hall Farm,No trend,-0.267045455,0.047165341,29,10/1/1995,10/1/2023
1455,Down Farm Abbotstone,No trend,-0.386259921,0.024118997,50,10/1/1973,10/1/2022
1457,Sankyn Green,No trend,0.237332702,0.029995935,7,10/1/2005,10/1/2011
1458,Greys Court,No trend,1.571085859,0.02850559,36,10/1/1981,10/1/2016
1459,Wetherby Racecourse,No trend,-1.060606061,0.341344964,13,10/1/2011,10/1/2023
1460,Lopham Road,No trend,1.910353535,0.289987859,1,10/1/2002,10/1/2002
1461,East Farm,No trend,0.551282051,0.068005511,1,10/1/1987,10/1/1987
1462,Somerford Keynes,No trend,0.881118881,0.005531394,1,10/1/2005,10/1/2005
1463,Myrtle Grove,Slow increasing,-6.491025934,0.17370629,30,10/1/1994,10/1/2023
1464,Shoreswood Loan,Slow increasing,-25.82598984,0.301437135,16,10/1/2007,10/1/2022
1465,Spring Cottage,No trend,0.120717194,0.097545185,15,10/1/1993,10/1/2007
1466,Hogsthorpe,No trend,0.588541667,0.404901563,2,10/1/1987,10/1/1988
1467,Aike,No trend,0.086805556,0.278199738,6,10/1/1981,10/1/1986
1468,Pitt Down,Slow increasing,-16.48958333,0.255469861,15,10/1/2009,10/1/2023
1469,The Green Redlingfield,No trend,1.44047619,0.917242745,45,10/1/1979,10/1/2023
1470,Croxton House,No trend,-1.218434343,0.038523836,51,10/1/1973,10/1/2023
1471,The Barracks,No trend,-1.297167,0.022012847,49,10/1/1975,10/1/2023
1472,Old Lodge Well,No trend,-1.508964912,0.172426894,34,10/1/1990,10/1/2023
1473,Squirrels Leap,Sudden downward change,5.102128427,0.72379074,11,10/1/1981,10/1/1991
1474,The Estate Office,No trend,1.796536797,0.226561606,22,10/1/2000,10/1/2021
1475,Sheepwash Lane,Slow increasing,-5.929563492,0.152392971,16,10/1/2005,10/1/2020
1476,Tufton Warren Farm,No trend,-0.075793651,0.047827201,2,10/1/2011,10/1/2012
1477,Robin Hood Pub,No trend,-1.720779221,0.119031251,35,10/1/1989,10/1/2023
1478,Overgrass Farm,Sudden upward change,-3.325,0.993667265,5,10/1/1998,10/1/2002
1479,Sankey Valley,Slow increasing,-26.50819407,0.948524944,18,10/1/1996,10/1/2013
1480,Dairy Cottages,No trend,-0.704545455,0.152909504,29,10/1/1995,10/1/2023
1481,East Stratton,No trend,-0.310325477,0.046831009,7,10/1/2011,10/1/2017
1482,Rudd Hall,No trend,0.740985162,0.085614527,2,10/1/1987,10/1/1988
1483,Arkesden Village,No trend,1.211969697,0.026908469,40,10/1/1978,10/1/2017
1484,Warbleton Tilement Farm,Slow decreasing,2.658119658,0.397340344,10,10/1/1978,10/1/1987
1485,Moundsmere Manor,No trend,0.270325203,0.142113321,1,10/1/1966,10/1/1966
1487,Bold,Slow increasing,-172.072,0.995450263,28,10/1/1991,10/1/2018
1488,Old Sandpit,No trend,1.733506079,0.124739579,2,10/1/2013,10/1/2014
1489,Great Green,No trend,0.108089827,0.000870089,32,10/1/1990,10/1/2021
1490,Windmill Barrow,Slow increasing,-10.4978244,0.128881497,20,10/1/2004,10/1/2023
1491,Farthingloe,No trend,-1.623209111,0.065744158,1,10/1/2015,10/1/2015
1492,Hop Pole Inn,No trend,-1.624756494,0.142909215,4,10/1/1997,10/1/2000
